,timestamp,len_word
,timestamp,S,P,R
0,2022-09-18 23:46:18.975,2,0,0
1,2022-09-18 23:46:18.975,0,1,0
2,2022-09-18 23:46:19.293,0,0,1
3,2022-09-18 23:46:19.293,0,1,0
4,2022-09-18 23:46:19.298,0,0,1
5,2022-09-18 23:46:19.298,0,1,0
6,2022-09-18 23:46:19.306,0,1,0
7,2022-09-18 23:46:19.306,1,0,0
8,2022-09-18 23:46:19.318,0,2,0
9,2022-09-18 23:46:19.344,0,1,0
10,2022-09-18 23:46:19.359,1,0,0
11,2022-09-18 23:46:19.359,0,1,0
12,2022-09-18 23:46:19.501,0,3,0
13,2022-09-18 23:46:20.288,1,0,0
14,2022-09-18 23:46:20.288,0,2,0
15,2022-09-18 23:46:20.404,0,1,0
16,2022-09-18 23:46:20.404,2,0,0
17,2022-09-18 23:46:21.305,0,1,0
18,2022-09-18 23:46:21.374,2,0,0
19,2022-09-18 23:46:22.292,2,0,0
20,2022-09-18 23:46:22.336,0,0,1
21,2022-09-18 23:46:22.336,0,1,0
22,2022-09-18 23:46:22.347,2,0,0
23,2022-09-18 23:46:22.536,0,1,0
24,2022-09-18 23:46:23.318,0,2,0
25,2022-09-18 23:46:23.318,1,0,0
26,2022-09-18 23:46:23.355,1,0,0
27,2022-09-18 23:46:23.355,0,10,0
28,2022-09-18 23:46:23.375,0,1,0
29,2022-09-18 23:46:23.510,0,1,0
30,2022-09-18 23:46:24.276,2,0,0
31,2022-09-18 23:46:24.276,0,2,0
32,2022-09-18 23:46:25.308,0,1,0
33,2022-09-18 23:46:25.308,1,0,0
34,2022-09-18 23:46:25.335,0,3,0
35,2022-09-18 23:46:25.335,1,0,0
36,2022-09-18 23:46:25.335,0,0,1
37,2022-09-18 23:46:25.358,1,0,0
38,2022-09-18 23:46:25.369,0,3,0
39,2022-09-18 23:46:25.369,2,0,0
40,2022-09-18 23:46:25.394,1,0,0
41,2022-09-18 23:46:25.394,0,2,0
42,2022-09-18 23:46:25.451,0,2,0
43,2022-09-18 23:46:26.280,0,4,0
44,2022-09-18 23:46:26.280,1,0,0
45,2022-09-18 23:46:26.286,7,0,0
46,2022-09-18 23:46:26.286,0,1,0
47,2022-09-18 23:46:26.290,0,1,0
48,2022-09-18 23:46:26.290,2,0,0
49,2022-09-18 23:46:26.966,0,2,0
50,2022-09-18 23:46:27.302,0,0,1
51,2022-09-18 23:46:27.302,0,2,0
52,2022-09-18 23:46:27.322,0,0,1
53,2022-09-18 23:46:27.337,0,3,0
54,2022-09-18 23:46:27.347,0,1,0
55,2022-09-18 23:46:27.347,1,0,0
56,2022-09-18 23:46:27.353,0,0,1
57,2022-09-18 23:46:27.364,0,0,1
58,2022-09-18 23:46:27.364,0,1,0
59,2022-09-18 23:46:27.376,0,4,0
60,2022-09-18 23:46:27.387,1,0,0
61,2022-09-18 23:46:27.387,0,2,0
62,2022-09-18 23:46:27.399,0,1,0
63,2022-09-18 23:46:27.407,0,1,0
64,2022-09-18 23:46:27.407,0,0,1
65,2022-09-18 23:46:27.407,2,0,0
66,2022-09-18 23:46:27.559,2,0,0
67,2022-09-18 23:46:27.559,0,3,0
68,2022-09-18 23:46:27.559,0,0,2
69,2022-09-18 23:46:28.320,0,1,0
70,2022-09-18 23:46:28.320,1,0,0
71,2022-09-18 23:46:28.347,0,2,0
72,2022-09-18 23:46:28.347,2,0,0
73,2022-09-18 23:46:28.403,0,0,1
74,2022-09-18 23:46:28.403,0,1,0
75,2022-09-18 23:46:28.439,0,2,0
76,2022-09-18 23:46:28.522,5,0,0
77,2022-09-18 23:46:28.522,0,1,0
78,2022-09-18 23:46:29.336,2,0,0
79,2022-09-18 23:46:29.336,0,1,0
80,2022-09-18 23:46:29.347,1,0,0
81,2022-09-18 23:46:30.281,1,0,0
82,2022-09-18 23:46:30.281,0,10,0
83,2022-09-18 23:46:30.346,1,0,0
84,2022-09-18 23:46:30.367,0,2,0
85,2022-09-18 23:46:30.367,0,0,1
86,2022-09-18 23:46:30.371,0,4,0
87,2022-09-19 00:27:43.355,1,0,0
88,2022-09-19 00:27:43.355,0,2,0
89,2022-09-19 00:27:43.652,0,1,0
90,2022-09-19 00:27:43.656,1,0,0
91,2022-09-19 00:27:43.658,0,2,0
92,2022-09-19 00:27:43.658,0,0,1
93,2022-09-19 00:27:43.658,1,0,0
94,2022-09-19 00:27:44.270,1,0,0
95,2022-09-19 00:27:44.270,0,2,0
96,2022-09-19 00:27:44.292,1,0,0
97,2022-09-19 00:27:44.292,0,1,0
98,2022-09-19 00:27:44.298,3,0,0
99,2022-09-19 00:27:44.298,0,0,1
100,2022-09-19 00:27:44.298,0,7,0
101,2022-09-19 00:27:44.412,1,0,0
102,2022-09-19 00:27:44.412,0,0,1
103,2022-09-19 00:27:45.382,0,2,0
104,2022-09-19 00:27:46.222,0,1,0
105,2022-09-19 00:27:46.222,1,0,0
106,2022-09-19 00:27:46.230,0,0,1
107,2022-09-19 00:27:46.230,0,1,0
108,2022-09-19 00:27:46.235,0,0,1
109,2022-09-19 00:27:46.235,1,0,0
110,2022-09-19 00:27:46.235,0,2,0
111,2022-09-19 00:27:46.266,1,0,0
112,2022-09-19 00:27:46.500,0,1,0
113,2022-09-19 00:27:47.241,0,0,1
114,2022-09-19 00:27:47.308,0,0,1
115,2022-09-19 00:27:47.308,0,1,0
116,2022-09-19 00:27:47.316,0,7,0
117,2022-09-19 00:27:47.316,1,0,0
118,2022-09-19 00:27:48.272,0,0,2
119,2022-09-19 00:27:48.272,0,2,0
120,2022-09-19 00:27:48.272,1,0,0
121,2022-09-19 00:27:48.290,0,0,1
122,2022-09-19 00:27:48.290,3,0,0
123,2022-09-19 00:27:48.290,0,1,0
124,2022-09-19 00:27:48.319,0,1,0
125,2022-09-19 00:27:48.319,0,0,1
126,2022-09-19 00:27:48.319,1,0,0
127,2022-09-19 00:27:48.324,0,1,0
128,2022-09-19 00:27:48.328,4,0,0
129,2022-09-19 00:27:48.328,0,4,0
130,2022-09-19 00:27:49.345,0,2,0
131,2022-09-19 00:27:50.240,0,3,0
132,2022-09-19 00:27:50.240,0,0,1
133,2022-09-19 00:27:50.279,0,7,0
134,2022-09-19 00:27:50.279,5,0,0
135,2022-09-19 00:27:50.343,0,2,0
136,2022-09-19 00:27:50.343,1,0,0
137,2022-09-19 00:27:50.351,2,0,0
138,2022-09-19 00:27:50.351,0,2,0
139,2022-09-19 00:27:50.360,0,2,0
140,2022-09-19 00:27:51.224,0,2,0
141,2022-09-19 00:27:51.224,1,0,0
142,2022-09-19 00:27:51.259,0,2,0
143,2022-09-19 00:27:51.259,2,0,0
144,2022-09-19 00:27:51.272,1,0,0
145,2022-09-19 00:27:52.254,0,3,0
146,2022-09-19 00:27:52.254,1,0,0
147,2022-09-19 00:27:52.315,3,0,0
148,2022-09-19 00:27:52.315,0,0,1
149,2022-09-19 00:27:52.315,0,3,0
150,2022-09-19 00:27:53.243,1,0,0
151,2022-09-19 00:27:53.243,0,5,0
152,2022-09-19 00:27:53.243,0,0,1
153,2022-09-19 00:27:53.414,1,0,0
154,2022-09-19 00:27:53.414,0,4,0
155,2022-09-19 00:36:30.412,0,0,1
156,2022-09-19 00:36:30.412,0,2,0
157,2022-09-19 00:36:30.530,0,0,2
158,2022-09-19 00:36:30.530,2,0,0
159,2022-09-19 00:36:30.530,0,1,0
